"","x1","y1","x2","y2","SDI1","SDI2","SDI3","SDI4","SDI5","SDI6","SDI7","SDI8","ID"
"132",620,40,640,60,537.657404471224,478.056838576335,486.4008840979,479.757083581544,370.312092230575,373.825649729408,387.545856534226,383.018089596732,132
"133",640,40,660,60,686.228046525453,573.601051444629,612.567609333197,626.784586437927,669.59903898474,645.517794105454,533.979360816984,519.760834083102,133
"134",660,40,680,60,761.734132287154,625.568338820544,633.795116237645,633.059301716723,651.03077173088,539.967364119262,421.867477900906,431.097361685342,134
"135",680,40,700,60,545.125341119426,591.677884426487,631.400203530685,645.950778169835,658.382368570929,655.94765225854,678.3832216274,641.455776695973,135
"136",700,40,720,60,463.403543317421,327.484187718808,458.000603952352,470.754307270005,513.125051837292,478.367497331111,489.286975550875,481.979326227788,136
"137",720,40,740,60,842.315233441017,1070.27841642856,728.287720296637,742.142622266036,461.368602472385,570.101547304302,574.250861929379,613.312640186393,137
"138",740,40,760,60,425.980089871025,490.485273739168,501.567551933903,507.639747845282,614.389921377501,678.639540060504,698.762310431096,606.69554784907,138
"139",760,40,780,60,574.029568466686,445.326712799957,506.167826240968,505.725435766806,357.542859848307,381.773771732862,370.215287313873,374.519617112894,139
"140",780,40,800,60,1596.80830122081,1599.63119698041,1650.62514463331,1638.10670444953,1651.94289493817,1497.56469164194,1412.94707362358,1421.62059958079,140
"141",800,40,820,60,408.021138873133,360.370509095244,450.397588247475,524.142891950765,510.830121816315,445.500135171404,465.748398183739,389.064292521768,141
"142",820,40,840,60,612.051205934813,581.036441512075,532.98257542974,593.813437261305,636.596174312011,607.277642383141,593.980208273678,491.260015035471,142
"143",840,40,860,60,595.817328225614,519.083381673616,572.419205918598,451.80555644627,498.265021177741,519.328999105422,479.456399009241,458.580079646836,143
"144",860,40,880,60,633.732496033175,656.008775035247,661.719851268601,657.792318208335,618.080292168515,633.623707948296,676.851266192048,674.831253066209,144
"145",880,40,900,60,584.627409613198,521.266658399173,614.414745628864,644.199278960495,643.678029071944,686.444847079421,672.444991457151,642.148248376254,145
"146",900,40,920,60,532.520058656845,530.293717513125,505.013125300836,552.957217686176,459.254378449257,467.898671455042,470.314101692795,448.054982285529,146
"147",920,40,940,60,704.02752570136,526.358202613762,491.245656637485,517.009278521757,547.184851916082,554.485712860142,512.877179995202,427.595452049402,147
"148",940,40,960,60,895.781744450292,680.895402203799,702.97609621711,704.008625568481,807.682290191442,754.184302079511,772.716161735959,843.582550921245,148
"149",960,40,980,60,652.874073195063,542.724329409989,600.864384104701,620.348922902924,445.774350561378,323.888995015381,355.304358161332,330.309634197244,149
"150",980,40,1000,60,375.038276749402,389.258970181712,328.665373877337,268.612104922224,256.984084864911,321.337857201815,337.705278612284,327.842416956116,150
"151",0,60,20,80,736.073148987669,688.188888190065,649.57579315377,689.663989463421,679.121896706565,590.314634000096,548.023277108226,549.355123684811,151
"152",20,60,40,80,465.920007298142,557.261076447162,576.247866901039,622.864751181462,632.400546981279,664.298811593482,702.274518086047,736.059971816331,152
"153",40,60,60,80,467.220264018551,488.182791547785,515.14192199049,545.894382277832,537.592642527752,568.443141185966,584.919544845177,597.69841842681,153
"154",60,60,80,80,486.911844046384,434.617548843683,445.139091809557,439.088857460673,390.876114453118,483.208106518355,426.227568219957,482.458175062681,154
"155",80,60,100,80,534.962702332989,578.061467520804,602.933947893868,612.222955517048,697.86535779181,768.159076589129,814.689205287304,711.898969676707,155
"156",100,60,120,80,681.956800430651,701.344986929528,742.733829654329,747.525015413541,749.67049102179,670.259413125353,449.38424283637,297.25487930285,156
"157",120,60,140,80,816.46297371211,845.102472031003,852.497124360418,873.70496466384,914.384039462709,941.619062713164,977.726018672919,921.056661713206,157
"158",140,60,160,80,988.940493493574,1066.39349834782,1085.1329076502,1119.95393384657,996.065611262153,1012.65102613682,1008.40051290449,1040.58726199297,158
"159",160,60,180,80,613.3792186861,537.657901708082,580.933468524288,595.312211836319,553.039663062547,562.083835724472,524.540211357323,560.449265981926,159
"160",180,60,200,80,683.457266648886,278.471379056765,565.212568398742,574.108282424161,588.604743637181,582.047489369752,586.873047448334,587.307158675145,160
"161",200,60,220,80,1076.45732403926,1062.16443008952,1052.85942838794,1079.59300278837,1156.50495558536,1169.23580645542,1094.64260177021,1049.52184238722,161
"162",220,60,240,80,731.331746211257,492.835157666201,556.027402960088,594.304775977109,622.287576295901,667.950540092573,675.502983085396,681.214834264332,162
"163",240,60,260,80,630.762434238763,660.539912036309,670.471240913434,700.693755069859,701.744971197076,714.49956306404,723.925383561917,661.949263798593,163
"164",260,60,280,80,639.572118260738,538.665069846423,540.208795019118,408.220043283013,462.753674784309,463.537998828014,458.770589920352,437.469334424485,164
"165",280,60,300,80,479.469806458092,490.016271759967,567.288053738074,574.419207067329,550.616819699896,582.625826613391,569.56011622783,589.27349096631,165
"166",300,60,320,80,590.113986238424,655.572252126488,654.727830151461,648.581661626866,692.541301399385,737.786211931997,677.649658460247,696.774479545269,166
"167",320,60,340,80,510.386525681395,418.771857579333,457.413484412211,462.450541493972,442.351407327482,492.522068801733,532.119155380406,563.776117366581,167
"168",340,60,360,80,634.38128874047,675.000467407377,713.601401520949,748.785889748646,727.226382322369,709.676334430156,617.055185606398,508.028091503975,168
"169",360,60,380,80,970.100800321645,885.870018868972,1074.33622331623,1108.22362417362,1047.41268666359,1089.20156449902,1126.30357345844,799.275230710508,169
"170",380,60,400,80,843.92401631415,700.106687306376,684.374830940004,718.583115853817,674.827049739941,693.772766621586,711.134680126431,664.151574161075,170
"171",400,60,420,80,463.99351247407,530.341706345562,538.072817463579,550.023408074943,545.192159537717,497.383268493202,446.916292637254,454.667903056665,171
